iter	Passed	Remaining
763	5907	32754
764	5914	32742
765	5921	32730
766	5927	32711
767	5933	32697
768	5940	32684
769	5946	32664
770	5953	32653
771	5958	32633
772	5964	32617
773	5972	32608
774	5979	32596
775	5986	32588
776	5992	32570
777	6000	32561
778	6008	32557
779	6018	32560
780	6025	32552
781	6033	32545
782	6044	32552
783	6053	32555
784	6064	32562
785	6072	32558
786	6081	32556
787	6089	32551
788	6096	32538
789	6103	32527
790	6111	32518
791	6121	32524
792	6131	32526
793	6138	32518
794	6147	32515
795	6155	32508
796	6163	32505
797	6172	32503
798	6182	32504
799	6191	32507
800	6199	32501
801	6209	32504
802	6220	32510
803	6229	32511
804	6238	32510
805	6246	32501
806	6254	32497
807	6261	32486
808	6271	32488
809	6277	32471
810	6284	32462
811	6291	32447
812	6297	32434
813	6304	32423
814	6312	32413
815	6319	32404
816	6326	32391
817	6332	32374
818	6339	32360
819	6346	32351
820	6354	32343
821	6360	32327
822	6367	32317
823	6374	32306
824	6382	32299
825	6390	32290
826	6398	32284
827	6406	32281
828	6416	32285
829	6425	32280
830	6433	32277
831	6443	32279
832	6454	32289
833	6462	32279
834	6470	32273
835	6479	32271
836	6486	32260
837	6495	32259
838	6503	32256
839	6512	32253
840	6519	32240
841	6527	32233
842	6534	32224
843	6542	32218
844	6551	32213
845	6561	32216
846	6570	32217
847	6580	32220
848	6590	32223
849	6599	32223
850	6608	32221
851	6618	32222
852	6626	32217
853	6635	32215
854	6644	32210
855	6651	32202
856	6660	32199
857	6669	32197
858	6680	32206
859	6688	32198
860	6698	32201
861	6706	32194
862	6716	32197
863	6727	32202
864	6734	32194
865	6742	32188
866	6750	32178
867	6757	32168
868	6766	32165
869	6775	32164
870	6783	32155
871	6790	32144
872	6798	32139
873	6805	32127
874	6811	32109
875	6817	32096
876	6824	32083
877	6830	32069
878	6837	32055
879	6845	32048
880	6853	32041
881	6862	32041
882	6872	32041
883	6879	32031
884	6888	32031
885	6896	32023
886	6903	32012
887	6911	32003
888	6920	32003
889	6928	31997
890	6936	31989
891	6944	31981
892	6952	31976
893	6960	31968
894	6971	31973
895	6978	31963
896	6989	31970
897	6998	31968
898	7008	31969
899	7017	31967
900	7024	31956
901	7031	31944
902	7039	31940
903	7049	31940
904	7056	31931
905	7065	31929
906	7074	31923
907	7084	31927
908	7093	31926
909	7100	31914
910	7109	31910
911	7117	31906
912	7127	31908
913	7135	31901
914	7144	31897
915	7153	31892
916	7162	31891
917	7171	31888
918	7178	31879
919	7185	31866
920	7193	31859
921	7202	31857
922	7212	31856
923	7221	31857
924	7230	31853
925	7237	31841
926	7244	31831
927	7253	31828
928	7261	31822
929	7271	31820
930	7282	31827
931	7291	31824
932	7299	31817
933	7306	31806
934	7313	31797
935	7321	31789
936	7331	31792
937	7340	31788
938	7348	31780
939	7357	31778
940	7364	31768
941	7372	31758
942	7381	31756
943	7389	31751
944	7398	31747
945	7409	31753
946	7418	31748
947	7428	31752
948	7438	31754
949	7448	31753
950	7457	31751
951	7467	31751
952	7478	31756
953	7487	31754
954	7496	31754
955	7504	31745
956	7513	31742
957	7521	31733
958	7528	31723
959	7535	31712
960	7542	31699
961	7549	31691
962	7557	31681
963	7565	31675
964	7572	31662
965	7579	31650
966	7586	31638
967	7593	31630
968	7602	31627
969	7612	31625
970	7620	31619
971	7628	31613
972	7637	31607
973	7646	31606
974	7655	31601
975	7663	31597
976	7671	31589
977	7683	31598
978	7691	31589
979	7698	31580
980	7707	31577
981	7718	31580
982	7727	31576
983	7736	31573
984	7745	31570
985	7753	31562
986	7762	31562
987	7772	31561
988	7780	31553
989	7789	31552
990	7798	31548
991	7808	31549
992	7815	31538
993	7826	31543
994	7835	31537
995	7841	31525
996	7847	31509
997	7853	31493
998	7858	31474
999	7865	31460
1000	7871	31446
1001	7876	31427
1002	7883	31414
1003	7889	31399
1004	7895	31385
1005	7902	31372
1006	7908	31357
1007	7915	31346
1008	7921	31332
1009	7928	31320
1010	7936	31313
1011	7942	31299
1012	7950	31292
1013	7957	31280
1014	7964	31269
1015	7971	31259
1016	7979	31251
1017	7985	31234
1018	7992	31225
1019	7999	31214
1020	8007	31205
1021	8013	31192
1022	8020	31180
1023	8026	31167
1024	8033	31153
1025	8039	31141
1026	8046	31128
1027	8052	31114
1028	8059	31102
1029	8066	31090
1030	8071	31073
1031	8078	31060
